director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Amol Palekar,Antara Mali,Rajat Kapoor,Rituparna Sengupta,Drama,...and once again,Antara Mali Rajat Kapoor Rituparna Sengupta Amol Palekar Drama
Manoj Tiwari,Celina Jaitly,Isha Koppikar,Gul Panag,Comedy,hello darling,Celina Jaitly Isha Koppikar Gul Panag Manoj Tiwari Comedy
Sushil Rajpal,Raja Chaudhary,Vinay Pathak,unknown,Crime,antardwand,Raja Chaudhary Vinay Pathak unknown Sushil Rajpal Crime
Nagesh Kukunoor,John Abraham,Sonal Sehgal,Prateeksha Lonkar,Drama,aashayein,John Abraham Sonal Sehgal Prateeksha Lonkar Nagesh Kukunoor Drama
Sartaj Singh Pannu,Sartaj Singh Pannu,Barkha Madan,Bhupinder Singh,"Mystery, Suspense",soch lo,"Sartaj Singh Pannu Barkha Madan Bhupinder Singh Sartaj Singh Pannu Mystery, Suspense"
Siddharth Malhotra,Arjun Rampal,Kajol,Kareena Kapoor,"Drama, Romance",we are family,"Arjun Rampal Kajol Kareena Kapoor Siddharth Malhotra Drama, Romance"
Wilson Louis,Sameer Dattani,Sheena Nayar,Himanshu Malik,Horror,mallika,Sameer Dattani Sheena Nayar Himanshu Malik Wilson Louis Horror
Akshay Shere,Mohit Alawat,Kalki Koechlin,Vinay Pathak,Drama,the film emotional atyachar,Mohit Alawat Kalki Koechlin Vinay Pathak Akshay Shere Drama
Abhinav Kashyap,Salman Khan,Arbaaz Khan,Sonakshi Sinha,Action,dabangg,Salman Khan Arbaaz Khan Sonakshi Sinha Abhinav Kashyap Action
Rahsaan Islam,Rahsaan Islam,Bakhtiar Hafeez,Trishna Murad,Comedy,kings of devon,Rahsaan Islam Bakhtiar Hafeez Trishna Murad Rahsaan Islam Comedy
Raj Kumar Gupta,Rani Mukherjee,Vidya Balan,unknown,Social thriller,no one killed jessica,Rani Mukherjee Vidya Balan unknown Raj Kumar Gupta Social thriller
Rahat Kazmi,Vivek Sudershan,Sayali Bhagat,unknown,Adult/Comedy/Romance,impatient vivek,Vivek Sudershan Sayali Bhagat unknown Rahat Kazmi Adult/Comedy/Romance
Samir Karnik,Dharmendra,Sunny Deol,Bobby Deol,Comedy/Drama/Action,yamla pagla deewana,Dharmendra Sunny Deol Bobby Deol Samir Karnik Comedy/Drama/Action
Alankrita Shrivastava,Purab Kohli,Gul Panag,unknown,Adult/Romance/Comedy,turning 30!!!,Purab Kohli Gul Panag unknown Alankrita Shrivastava Adult/Romance/Comedy
Aman Mihani,Shilpa Shukla,Mohsin Akhtar,unknown,Comedy/Comedy/Comedy,mumbai mast kallander,Shilpa Shukla Mohsin Akhtar unknown Aman Mihani Comedy/Comedy/Comedy
Sagar Ambre Nikunj Pathak,Diksha Tomar,unknown,unknown,Social,odyssey of persistence,Diksha Tomar unknown unknown Sagar Ambre Nikunj Pathak Social
Kiran Rao,Prateik Babbar,Aamir Khan,Monica Dogra,Drama,dhobi ghat,Prateik Babbar Aamir Khan Monica Dogra Kiran Rao Drama
Manish Gupta,Vatsal Sheth,Tulip Joshi,Mukesh Tiwari,Social,hostel,Vatsal Sheth Tulip Joshi Mukesh Tiwari Manish Gupta Social
Madhur Bhandarkar,Ajay Devgn,Emraan Hashmi,Om Puri,Comedy,dil toh baccha hai ji,Ajay Devgn Emraan Hashmi Om Puri Madhur Bhandarkar Comedy
Sudhir Mishra,Arunoday Singh,Chitrangada Singh,Irrfan Khan,Cult,yeh saali zindagi,Arunoday Singh Chitrangada Singh Irrfan Khan Sudhir Mishra Cult
Vishal Aryan Singh,Parvathy Omanakuttan,unknown,unknown,Action/Thriller,united six,Parvathy Omanakuttan unknown unknown Vishal Aryan Singh Action/Thriller
Srikanth V. Velagaleti,Vinay Pathak,Mahie Gill,Mona Singh,Comedy,utt pataang,Vinay Pathak Mahie Gill Mona Singh Srikanth V. Velagaleti Comedy
Ganesh Acharya,Nilesh Sahay,Madalasa Sharma,Aruna Irani,Drama,angel,Nilesh Sahay Madalasa Sharma Aruna Irani Ganesh Acharya Drama
Nikhil Advani,Rishi Kapoor,Dimple Kapadia,Akshay Kumar,Family drama,patiala house,Rishi Kapoor Dimple Kapadia Akshay Kumar Nikhil Advani Family drama
Shankhadeep,Ishaan Manhaas,Ankita Shrivastava,unknown,Romance,aashiqui.in,Ishaan Manhaas Ankita Shrivastava unknown Shankhadeep Romance
Vishal Bhardwaj,Priyanka Chopra,Neil Nitin Mukesh,Naseeruddin Shah,Thriller/Black comedy,7 khoon maaf,Priyanka Chopra Neil Nitin Mukesh Naseeruddin Shah Vishal Bhardwaj Thriller/Black comedy
Sagar Ballary,Vinay Pathak,Sarika,Rukhsar,Children,kaccha limbo,Vinay Pathak Sarika Rukhsar Sagar Ballary Children
Vikram Pradhan,Rajpal Yadav,Johnny Lever,Divya Dutta,Comedy,masti express,Rajpal Yadav Johnny Lever Divya Dutta Vikram Pradhan Comedy
Anand Rai,Madhavan,Kangana Ranaut,Jimmy Sheirgill,Romance/Drama,tanu weds manu,Madhavan Kangana Ranaut Jimmy Sheirgill Anand Rai Romance/Drama
Vineet Khetrapal,Jackie Shroff,Kay Kay Menon,Rupali Ganguly,Family,satrangee parachute,Jackie Shroff Kay Kay Menon Rupali Ganguly Vineet Khetrapal Family
Yogesh Mittal,Anupam Kher,Pavan Malhotra,unknown,Drama,yeh faasley,Anupam Kher Pavan Malhotra unknown Yogesh Mittal Drama
Anay,Anay,Kurush Deboo,Mohit Ghai,Comedy,happy husbands,Anay Kurush Deboo Mohit Ghai Anay Comedy
Sushen Bhatnagar,Divya Dutta,Ashutosh Rana,unknown,Drama,monica,Divya Dutta Ashutosh Rana unknown Sushen Bhatnagar Drama
Abhinay Deo,Abhishek Bachchan,Kangana Ranaut,Sarah Jane Dias,Mystery/Action,game,Abhishek Bachchan Kangana Ranaut Sarah Jane Dias Abhinay Deo Mystery/Action
Remo D'souza,Jackky Bhagnani,Puja Gupta,Arshad Warsi,Satire/Comedy/Teen film,f.a.l.t.u,Jackky Bhagnani Puja Gupta Arshad Warsi Remo D'souza Satire/Comedy/Teen film
Sanjoy Nag,Deepti Naval,Rituparno Ghosh,Raima Sen,Drama,memories in march,Deepti Naval Rituparno Ghosh Raima Sen Sanjoy Nag Drama
Anees Bazmee,Akshay Kumar,Bobby Deol,Sunil Shetty,Comedy,thank you,Akshay Kumar Bobby Deol Sunil Shetty Anees Bazmee Comedy
Mirgdeep Singh Lamba,Om Puri,Shreyas Talpade,Deepak Dobriyal,Drama,teen thay bhai,Om Puri Shreyas Talpade Deepak Dobriyal Mirgdeep Singh Lamba Drama
Rohan Sippy,Abhishek Bachchan,Bipasha Basu,Prateik Babbar,Thriller,dum maaro dum,Abhishek Bachchan Bipasha Basu Prateik Babbar Rohan Sippy Thriller
Satyajit Bhatkal,Darsheel Safary,Anupam Kher,Manjari Phadnis,Superhero/Children,zokkomon,Darsheel Safary Anupam Kher Manjari Phadnis Satyajit Bhatkal Superhero/Children
"Raj Nidimoru, Krishna Dk",Tusshar Kapoor,Preeti Desai,Alok Chaturvedi,Drama/Cult,shor in the city,"Tusshar Kapoor Preeti Desai Alok Chaturvedi Raj Nidimoru, Krishna Dk Drama/Cult"
Shashant Shah,Lara Dutta,Vinay Pathak,Akshay Kumar,Comedy Road movie,chalo dilli,Lara Dutta Vinay Pathak Akshay Kumar Shashant Shah Comedy Road movie
Onir,Sanjay Suri,Radhika Apte,Shernaz Patel,Social/Drama,i am,Sanjay Suri Radhika Apte Shernaz Patel Onir Social/Drama
Jagmohan Mundhra,Govinda,Yuvika Chaudhary,Anupam Kher,Comedy,naughty @ 40,Govinda Yuvika Chaudhary Anupam Kher Jagmohan Mundhra Comedy
Bumpy,Shraddha Kapoor,Taaha Shah,unknown,Teen/Comedy,luv ka the end,Shraddha Kapoor Taaha Shah unknown Bumpy Teen/Comedy
Vikram Bhatt,Mahakshay Chakraborty,Twinkle Bajpai,Achint Kaur,Horror,haunted – 3d,Mahakshay Chakraborty Twinkle Bajpai Achint Kaur Vikram Bhatt Horror
S. Manasvi,Tusshar Kapoor,Amrita Rao,unknown,Romance/Comedy,love u...mr. kalakaar!,Tusshar Kapoor Amrita Rao unknown S. Manasvi Romance/Comedy
Pawan Kripalani,Kainaz Motivala,Rajkummar Rao,unknown,Horror/Romance,ragini mms,Kainaz Motivala Rajkummar Rao unknown Pawan Kripalani Horror/Romance
Tigmanshu Dhulia,Nana Patekar,Zakir Hussain,Mohit Ahlawat,Action/Drama,shagird,Nana Patekar Zakir Hussain Mohit Ahlawat Tigmanshu Dhulia Action/Drama
Amole Gupte,Partho,Divya Dutta,unknown,Children,stanley ka dabba,Partho Divya Dutta unknown Amole Gupte Children
Prawaal Raman,Rajvvir Aroraa,Imaad Shah,Nishikant Kamat,Psychological thriller,404,Rajvvir Aroraa Imaad Shah Nishikant Kamat Prawaal Raman Psychological thriller
Anil Goyal,Nikhil Dwivedi,Smilie Suri,unknown,Animation,crackers,Nikhil Dwivedi Smilie Suri unknown Anil Goyal Animation
Luv Ranjan,Kartik Aaryan,Raayo S. Bakhirta,Divyendu Sharma,Romance/Comedy,pyaar ka punchnama,Kartik Aaryan Raayo S. Bakhirta Divyendu Sharma Luv Ranjan Romance/Comedy
Barnali Ray Shukla,Rahul Bose,Shefali Shah,unknown,Drama/Comedy,kucch luv jaisaa,Rahul Bose Shefali Shah unknown Barnali Ray Shukla Drama/Comedy
Anees Bazmee,Salman Khan,Asin,Paresh Rawal,Comedy,ready,Salman Khan Asin Paresh Rawal Anees Bazmee Comedy
Bijoy Nambiar,Rajeev Khandelwal,Kalki Koechlin,Shiv Panditt,Drama/Thriller,shaitan,Rajeev Khandelwal Kalki Koechlin Shiv Panditt Bijoy Nambiar Drama/Thriller
Sagar Ballary,Vinay Pathak,Minissha Lamba,Kay Kay Menon,Comedy,bheja fry 2,Vinay Pathak Minissha Lamba Kay Kay Menon Sagar Ballary Comedy
Roshan Abbas,Ali Fazal,Giselli Monteiro,Zoa Morani,Romance/Teen,always kabhi kabhi,Ali Fazal Giselli Monteiro Zoa Morani Roshan Abbas Romance/Teen
Ankush Bhatt,Kay Kay Menon,Piyush Mishra,Deepti Naval,Thriller,bhindi baazaar inc.,Kay Kay Menon Piyush Mishra Deepti Naval Ankush Bhatt Thriller
Chandrakant Singh,Rati Agnihotri,Gulshan Grover,Manoj Joshi,Crime,bin bulaye baraati,Rati Agnihotri Gulshan Grover Manoj Joshi Chandrakant Singh Crime
Indra Kumar,Sanjay Dutt,Arshad Warsi,Javed Jaffrey,Comedy,double dhamaal,Sanjay Dutt Arshad Warsi Javed Jaffrey Indra Kumar Comedy
Puri Jagannadh,Amitabh Bachchan,Charmy Kaur,Hema Malini,Action,bbuddah... hoga terra baap,Amitabh Bachchan Charmy Kaur Hema Malini Puri Jagannadh Action
Abhinay Deo,Imran Khan,Shenaz Treasurywala,Poorna Jagannathan,Action/Comedy,delhi belly,Imran Khan Shenaz Treasurywala Poorna Jagannathan Abhinay Deo Action/Comedy
Mohit Suri,Emraan Hashmi,Jacqueline Fernandez,Prashant Narayanan,Psychological thriller,murder 2,Emraan Hashmi Jacqueline Fernandez Prashant Narayanan Mohit Suri Psychological thriller
"Vikas Bahl, Nitesh Tiwari",Irrfan Khan,Sanath Menon,Rohan Grover,Children,chillar party,"Irrfan Khan Sanath Menon Rohan Grover Vikas Bahl, Nitesh Tiwari Children"
Zoya Akhtar,Hrithik Roshan,Katrina Kaif,Naseeruddin Shah,Romance/Road,zindagi na milegi dobara,Hrithik Roshan Katrina Kaif Naseeruddin Shah Zoya Akhtar Romance/Road
Rohit Shetty,Ajay Devgn,Kajal Aggarwal,Prakash Raj,Action,singham,Ajay Devgn Kajal Aggarwal Prakash Raj Rohit Shetty Action
Ajai Sinha,Om Puri,Govind Namdeo,Manoj Pahwa,Social,khap,Om Puri Govind Namdeo Manoj Pahwa Ajai Sinha Social
Rakesh Ranjan Kumar,Neha Dhupia,Raghubir Yadav,unknown,Biographical,gandhi to hitler,Neha Dhupia Raghubir Yadav unknown Rakesh Ranjan Kumar Biographical
Sanjivan Lal,Sohail Lakhani,Apoorva Arora,Sachin Khedekar,Drama,bubble gum,Sohail Lakhani Apoorva Arora Sachin Khedekar Sanjivan Lal Drama
Rajiv Mehra,Pankaj Kapoor,Deven Bhojani,Manoj Pahwa,Comedy/Social,chala mussaddi... office office,Pankaj Kapoor Deven Bhojani Manoj Pahwa Rajiv Mehra Comedy/Social
Nila Madhab Panda,Harsh Mayar,Gulshan Grover,unknown,Drama,i am kalam,Harsh Mayar Gulshan Grover unknown Nila Madhab Panda Drama
Ramesh Modi,Gracy Singh,Aslam Khan,Vishal Kaushik,Comedy/Romance,milta hai chance by chance,Gracy Singh Aslam Khan Vishal Kaushik Ramesh Modi Comedy/Romance
Karan Razdan,Jannat Zubair Rahmani,Atul Kulkarni,Rituparna Sengupta,Horror,warning,Jannat Zubair Rahmani Atul Kulkarni Rituparna Sengupta Karan Razdan Horror
Prakash Jha,Amitabh Bachchan,Saif Ali Khan,Manoj Bajpai,Social,aarakshan,Amitabh Bachchan Saif Ali Khan Manoj Bajpai Prakash Jha Social
Girish Dhamija,Rajneesh Duggal,Adah Sharma,Roshni Chopra,Thriller,phhir,Rajneesh Duggal Adah Sharma Roshni Chopra Girish Dhamija Thriller
Ajay Chandok,Sanjay Dutt,Ameesha Patel,Suresh Menon,Comedy,chatur singh two star,Sanjay Dutt Ameesha Patel Suresh Menon Ajay Chandok Comedy
Ram Gopal Varma,Mahie Gill,Deepak Dobriyal,Ajay Gehi,Crime,not a love story,Mahie Gill Deepak Dobriyal Ajay Gehi Ram Gopal Varma Crime
Parvin Dabas,Parvin Dabas,Sharat Saxena,Vansh Bharadwaj,Comedy,sahi dhandhe galat bande,Parvin Dabas Sharat Saxena Vansh Bharadwaj Parvin Dabas Comedy
Suneet Arora,Ravi Kissen,Rahul Singh,Rajesh Shringapure,Social,chitkabrey – shades of grey,Ravi Kissen Rahul Singh Rajesh Shringapure Suneet Arora Social
Lalit Marathe,Isha Koppikar,unknown,unknown,Action,shabri,Isha Koppikar unknown unknown Lalit Marathe Action
Deepshika,Deepshika,Kaishav Arora,unknown,Romance,yeh dooriyan,Deepshika Kaishav Arora unknown Deepshika Romance
Siddique,Salman Khan,Kareena Kapoor,Hazel Keech,Romance/Action,bodyguard,Salman Khan Kareena Kapoor Hazel Keech Siddique Romance/Action
Pammi Somal,Kirron Kher,Jackie Shroff,Divya Dutta,Comedy,mummy punjabi,Kirron Kher Jackie Shroff Divya Dutta Pammi Somal Comedy
Anurag Kashyap,Kalki Koechlin,Naseeruddin Shah,unknown,Social,that girl in yellow boots,Kalki Koechlin Naseeruddin Shah unknown Anurag Kashyap Social
Ali Abbas Zafar,Katrina Kaif,Imran Khan,Ali Zafar,Romance/Comedy,mere brother ki dulhan,Katrina Kaif Imran Khan Ali Zafar Ali Abbas Zafar Romance/Comedy
Ashok Nanda,Deepti Naval,Reema Lagoo,Meghna Naidu,Social,rivaaz,Deepti Naval Reema Lagoo Meghna Naidu Ashok Nanda Social
